,Mean,Variance,Median,Mode,Skewness,Kurtosis,Energy,Entropy,MinimalGrayLevel,MaximalGrayLevel,CoefficientOfVariation,10Percentile,25Percentile,75Percentile,90Percentile,HistogramWidth,ASM,Contrast,Correlation,SumOfSquaresVariance,InverseDifferenceMoment,SumAverage,SumVariance,SumEntropy,Entropy,DifferenceVariance,DifferenceEntropy,Information1,Information2,MaximalCorrelationCoefficient,Target
Image_11,136.91680859201998,107.55314361236736,136.0,136.0,-0.6141077287150728,9.363744151372224,0.03593045850271224,3.633782790980389,11.0,207.0,0.08517510676457807,126.0,131.0,141.0,147.0,21.0,0.0017141242047218142,93.3354192992062,0.5631480918317961,106.82732282423422,0.16683123487650628,272.76107014516214,333.973871997714,6.04535934842479,10.069765234857929,0.0003367670895584275,4.150267362776227,-0.07362236844806533,0.7102307812036548,5.653704347587583,1
Image_12,134.50957391754355,38.92759396835936,134.0,135.0,-1.534968437623858,9.386818940568617,0.0528577836560111,3.173056105201184,59.0,166.0,0.08605957602606334,127.0,131.0,138.0,141.0,14.0,0.003686746214966721,27.548141457654918,0.642139638986679,38.490513445771285,0.23838249981946244,267.9665401795528,126.4139123254572,5.413355810111192,8.73687929569169,0.0006463710395796194,3.4469820342661315,-0.08624583399244143,0.7264249040418148,4.481939919495526,1
Image_13,170.5912425321691,444.1368952252522,174.0,178.0,-1.2114899939162884,5.075165303913606,0.01568958986451744,4.38350789253635,9.0,245.0,0.07732463731709707,142.0,159.0,184.0,193.0,51.0,0.0005048066475268501,138.6812549709526,0.8422853156418139,439.8426659049719,0.12791522129593408,339.9513453297162,1620.6894086489447,7.243179188112461,11.671927650835517,0.00020833739295344968,4.550210113981637,-0.14798277997689996,0.9156010400079232,5.869707242404661,1
Image_14,155.37706288833402,675.8147311660264,158.0,161.0,-0.8737279703475539,4.099175871036837,0.011972927627241819,4.633490258401847,32.0,238.0,0.08089871732876151,122.0,141.0,173.0,185.0,63.0,0.00018686086084000977,528.1791228288921,0.6074543706671639,672.7707900332744,0.06522084773651808,309.5031362951874,2162.9040373041826,7.490535333518654,12.955378874980916,9.293538054353515e-05,5.550787288280141,-0.05599038098311335,0.7012744854115706,7.230864078840856,1
Image_15,135.3003370786517,320.74919301306267,135.0,135.0,-0.3009685075912527,3.755976066407857,0.01661922379304939,4.305308457049049,25.0,229.0,0.08587524827723095,113.0,124.0,146.0,157.0,44.0,0.000384044855769235,221.94428018336583,0.6507508787324723,317.8588427793329,0.09176666559237928,269.65289221175726,1049.4910909339596,7.049421386504989,11.929637838819993,0.00015747545978539717,4.933112704325634,-0.072639553282707,0.759987705067932,6.548735346421481,1
Image_16,157.87394079446756,306.0210762158976,157.0,157.0,-1.1655482381725846,8.017337480219096,0.0190594416824721,4.200846985039135,26.0,223.0,0.07936689249085217,139.0,148.0,167.0,178.0,39.0,0.0006758647735680418,147.78872399653517,0.755020134833627,302.0137696261436,0.14941812992671785,314.5926590317021,1060.2663545080359,6.934233494480495,11.315913372869378,0.00025060630892965785,4.507059860499219,-0.1263629516226041,0.8695202252575337,5.352354385568719,1
Image_17,125.35214013071896,805.0769570312401,129.0,139.0,-0.6683873712000659,4.584168976882932,0.012148327078515854,4.697540488950752,0.0,255.0,0.09060728185220018,88.0,111.0,143.0,153.0,65.0,0.0004523526338967351,406.6386255770493,0.7422982527363073,790.5748199030677,0.1523986853760901,250.05820875688613,2755.6606540352423,7.650841438976599,12.398345294578505,0.0001882576424642947,4.981200934495653,-0.1627901656859202,0.9329373213369364,6.30815407904808,1
Image_18,145.32776084621406,707.4308072266648,148.0,158.0,-0.8774855421991593,4.574516908202723,0.011893412963210873,4.657844179082107,0.0,249.0,0.08371095095499342,110.0,130.0,163.0,174.0,64.0,0.0002676593882285217,369.1653308852154,0.7349401352061052,697.107711329164,0.09723079084635969,289.71581000598087,2419.2655144314267,7.57609775020299,12.61501660742411,0.0001396255177048033,5.144687077300716,-0.11555255942168818,0.8764641894527258,6.3718623667190535,1
Image_19,117.99939403706688,648.4108461095241,119.0,121.0,-0.4107778060653103,3.277995994008595,0.01175232565348234,4.648156205153483,10.0,200.0,0.09244718757800557,83.0,103.0,134.0,150.0,67.0,0.00039003149052303657,206.762901501847,0.8366778359393385,635.0730662922242,0.15049570163251555,235.5229977740679,2333.5293636670303,7.6039222155902255,12.119975472863327,0.0002611063553069203,4.664117348100902,-0.18421458944310615,0.9470189545039975,5.146790768914607,1
Image_20,153.29844519378878,479.24457738983295,156.0,160.0,-1.1384774380580476,5.271798749980269,0.01511108640092841,4.437152818647768,19.0,230.0,0.08147503375528596,125.0,142.0,167.0,177.0,52.0,0.0002863909960097389,561.1554958610889,0.4076857377449039,474.0407879608556,0.07240915974445357,305.5523037051871,1335.0076559823174,7.106563136035496,12.500974363646469,0.00010624539028143118,5.523106338765508,-0.04005120329545354,0.6061404930618112,4.77399452243618,1
Image_21,109.33009537642218,271.6530363584031,107.0,105.0,0.9040939386270552,6.42693760508033,0.02189922516046654,4.115840055817904,0.0,255.0,0.0946132937794855,92.0,99.0,116.0,127.0,35.0,0.0015658544093636964,179.9289427864918,0.6665850222086993,269.8894985497609,0.2382216740538905,217.85831821315173,899.6290514125376,6.825305209563023,10.806450029975334,0.0003475841140190605,4.2468744967832786,-0.17429056749304941,0.8987433218100453,4.3497173486630105,2
Image_22,126.16216805350376,813.2563012398539,121.0,115.0,1.0488113194092668,5.036414702557531,0.012179919965091315,4.680669831308918,0.0,255.0,0.08718937039299325,96.0,108.0,139.0,161.0,65.0,0.00035434816668171866,784.7175462058045,0.5117597371654198,804.296553347408,0.13084064463825473,251.15394913381013,2432.468667183799,7.564606701168079,12.60185143218014,0.00015890522348777702,5.26746074710796,-0.12685141912542047,0.8885233515526774,5.3022745433734855,2
